姓名,位置,年龄,ca,pa,国籍,俱乐部,角球,传中,盘带,射门,接球,任意球,头球,远射,界外球,盯人,传球,罚点球,抢断,技术,侵略性,预判,勇敢,镇定,集中,决断,意志力,想象力,领导力,无球跑动,防守站位,团队合作,视野,工作投入,爆发力,灵活,平衡,弹跳,体质,速度,耐力,强壮,稳定,肮脏,大赛,伤病,多样,制空能力,拦截传中,沟通,神经指数,手控球,大脚开球,一对一,反应,出击,击球倾向,手抛球的能力,适应性,雄心,争论,忠诚,抗压能力,职业,体育道德,情绪控制,GK,DL,DC,DR,WBL,WBR,DM,ML,MC,MR,AML,AMC,AMR,ST,身高,左脚,右脚,身价（欧元）,当前声望,本国声望,世界声望,种族,RCA,肤色,出生日期,国家队出场,国家队进球,工资（欧元）,UID,防守,身体,速度,创造,进攻,技术,制空,精神,拦截射门,身体,速度,精神,指挥防守,意外性,制空,大脚,球员习惯,二维码&球员名片&扫码填写评价,球员习惯,二维码&球员名片&扫码填写评价
Kylian Mbappé,AM/ST RL,26,191,197,France,R. Madrid,13,13,18,18,18,11,9,15,3,4,15,18,4,17,6,17,12,17,16,16,18,18,13,17,4,10,16,13,19,16,16,8,15,19,15,12,15,7,16,7,14,2,3,3,3,3,2,4,3,1,3,3,15,20,8,14,16,16,12,13,1,1,1,1,1,1,1,10,1,10,20,1,15,18,178,12,20,"£149,602,800",9550,9400,9550,AfricanCaribbean,185,13,1998/12/20,90,50,"£496,918",85139014,4.00 ,14.75 ,19.00 ,16.33 ,17.33 ,17.67 ,8.50 ,14.83 ,3.50 ,14.75 ,19.00 ,14.83 ,3.00 ,3.00 ,2.50 ,2.50 ,"尝试花式动作
喜欢从双侧内切
经常带球",#NAME?,"尝试花式动作
喜欢从双侧内切
经常带球",
Harry Kane,ST C,32,188,190,"England,Republic of Ireland",FC Bayern München,11,12,14,19,18,12,17,17,7,8,18,20,9,17,13,18,15,18,16,18,19,12,17,17,8,16,18,12,12,12,18,16,16,13,16,16,18,13,11,10,9,3,2,4,2,3,1,2,1,3,3,1,10,18,8,18,18,20,8,14,5,1,1,1,1,1,10,1,12,1,12,15,12,20,188,16,20,"£300,000,000",9400,9000,8900,NorthernEuropean,190,4,1993/7/28,107,73,"£381,198",28049320,8.33 ,15.50 ,12.50 ,16.00 ,18.00 ,16.33 ,16.50 ,17.00 ,1.50 ,15.50 ,12.50 ,17.00 ,3.00 ,2.00 ,3.00 ,1.00 ,"经常尝试传身后球
回撤拿球
鼓动观众情绪
长距离传球",#NAME?,"经常尝试传身后球
回撤拿球
鼓动观众情绪
长距离传球",
"Mohamed Salah(Liverpool,Egypt)",AM/ST RL,33,186,187,Egypt,Liverpool,11,17,16,17,17,12,10,15,7,7,16,17,7,17,10,17,9,16,16,16,18,15,13,18,8,17,17,18,16,18,18,8,19,16,17,16,16,4,16,3,8,2,2,1,1,1,3,1,2,2,3,2,18,18,5,17,17,19,15,18,1,1,1,1,1,1,1,8,1,8,15,14,20,16,175,20,8,"£300,000,000",9250,9000,8750,NorthAfricanMiddleEastern,186,9,1992/6/15,104,58,"£400,000",98028755,7.33 ,17.25 ,16.00 ,16.00 ,17.00 ,16.67 ,9.00 ,15.50 ,1.50 ,17.25 ,16.00 ,15.50 ,1.50 ,1.00 ,1.50 ,2.50 ,"角度刁钻的射门
乐于反越位
从右路内切",#NAME?,"角度刁钻的射门
乐于反越位
从右路内切",
Ousmane Dembélé,AM/ST RL,28,185,188,"France,Mauritania",Paris Saint-Germain,12,14,18,15,18,10,7,13,5,10,15,14,7,18,11,11,12,13,13,12,15,18,13,14,10,14,14,14,18,17,13,8,12,17,14,10,16,5,14,10,15,1,2,1,3,4,1,2,3,2,1,2,13,14,13,12,13,14,15,13,1,1,1,1,1,1,1,13,1,14,17,14,19,20,178,20,18,"£235,202,528",9250,9250,8250,AfricanCaribbean,161,16,1997/5/15,56,7,"£332,386",85140178,9.00 ,13.50 ,17.50 ,15.67 ,14.00 ,18.00 ,7.50 ,12.83 ,2.50 ,13.50 ,17.50 ,12.83 ,1.50 ,3.00 ,2.50 ,1.50 ,"角度刁钻的射门
尝试花式动作
喜欢从双侧内切
喜欢连续过多人
经常带球",#NAME?,"角度刁钻的射门
尝试花式动作
喜欢从双侧内切
喜欢连续过多人
经常带球",
Erling Haaland,ST ,25,184,195,"Norway,England",Manchester City,7,10,14,18,13,13,15,13,5,6,13,17,7,14,15,19,15,17,15,15,20,16,13,18,7,14,14,13,17,16,17,18,19,19,14,17,16,9,14,10,7,1,3,3,2,4,2,2,1,3,1,1,16,20,11,15,18,17,10,12,1,1,1,1,1,1,1,1,1,1,1,1,1,20,195,20,11,"£159,120,016",9350,9300,9300,NorthernEuropean,183,2,2000/7/21,43,42,"£450,000",29179241,6.67 ,16.00 ,18.00 ,14.33 ,17.67 ,13.67 ,16.50 ,16.33 ,1.50 ,16.00 ,18.00 ,16.33 ,3.00 ,2.00 ,2.50 ,1.50 ,"乐于反越位
趟球变向加速过人
鼓动观众情绪
第一时间射门",#NAME?,"乐于反越位
趟球变向加速过人
鼓动观众情绪
第一时间射门",
Vinícius Júnior,AM/ST L,25,183,190,"Brazil,Spain",R. Madrid,7,13,19,16,15,8,12,12,4,3,15,14,6,16,17,16,17,15,11,15,20,16,14,16,9,13,14,13,19,17,17,8,15,18,16,12,14,11,18,5,10,1,3,2,3,3,2,2,1,3,1,4,15,19,16,13,12,15,6,3,1,1,1,1,1,1,1,14,1,10,20,1,14,16,176,12,20,"£134,597,440",9150,9000,9150,MixedRace,177,17,2000/7/12,41,7,"£344,735",19302146,6.00 ,15.50 ,18.50 ,15.00 ,15.67 ,16.67 ,10.00 ,15.33 ,1.50 ,15.50 ,18.50 ,15.33 ,2.50 ,3.00 ,2.00 ,3.00 ,"激怒对手
与裁判争论
撞墙式配合
喜欢连续过多人
经常带球",#NAME?,"激怒对手
与裁判争论
撞墙式配合
喜欢连续过多人
经常带球",
Virgil van Dijk,D C,34,183,185,"Netherlands,Suriname",Liverpool,2,4,10,7,17,13,17,5,7,16,16,11,17,16,17,18,14,18,17,17,18,11,18,8,17,17,15,15,14,12,14,17,17,15,15,18,18,12,18,4,7,2,1,3,1,1,1,3,2,1,3,2,18,18,9,17,19,17,12,18,1,1,20,1,1,1,12,1,1,1,1,1,1,8,195,10,20,"£300,000,000",9200,8500,8750,AfricanCaribbean,183,14,1991/7/8,81,10,"£350,000",37024025,16.67 ,14.75 ,14.50 ,14.00 ,11.00 ,14.33 ,17.00 ,16.83 ,2.50 ,14.75 ,14.50 ,16.83 ,2.00 ,1.00 ,1.50 ,1.50 ,"利用脚下技术将球带出危险区
不喜欢倒地铲球
长距离传球",#NAME?,"利用脚下技术将球带出危险区
不喜欢倒地铲球
长距离传球",
Bukayo Saka,AM RL,23,181,188,"England,Nigeria",Arsenal,17,15,17,15,16,14,9,17,6,9,13,15,10,17,13,16,12,15,14,16,17,16,12,17,10,17,15,16,17,16,18,9,18,15,17,13,17,8,15,6,18,1,2,2,1,1,3,2,3,1,2,1,16,16,5,16,17,17,15,16,1,8,1,1,10,8,1,12,8,14,18,1,20,1,178,20,11,"£146,160,016",9050,9050,8250,AfricanCaribbean,181,19,2001/9/5,44,12,"£250,000",28122642,9.67 ,16.00 ,16.00 ,14.67 ,15.67 ,16.67 ,9.00 ,15.33 ,2.50 ,16.00 ,16.00 ,15.33 ,2.00 ,1.00 ,1.00 ,2.00 ,"经常带球
从右路内切",#NAME?,"经常带球
从右路内切",
Jude Bellingham,M/AM LC,22,181,188,"England,Republic of Ireland",R. Madrid,11,12,17,17,17,11,14,14,6,12,17,13,15,17,17,16,17,17,14,15,20,18,17,17,12,16,16,18,16,15,14,12,16,15,16,14,16,13,17,6,15,1,2,3,3,3,1,3,3,2,3,2,16,20,12,16,18,18,9,7,1,1,1,1,1,1,12,16,20,14,14,17,12,10,186,12,20,"£174,960,032",9050,9000,8550,AfricanCaribbean,182,12,2003/6/29,44,6,"£344,735",29232937,13.00 ,14.75 ,15.50 ,17.00 ,17.00 ,17.00 ,13.00 ,16.33 ,3.00 ,14.75 ,15.50 ,16.33 ,2.50 ,3.00 ,2.00 ,1.50 ,"插入对方禁区
与裁判争论
鼓动观众情绪
第一时间射门
经常带球",#NAME?,"插入对方禁区
与裁判争论
鼓动观众情绪
第一时间射门
经常带球",
Declan Rice,DM/M C,26,181,182,"England,Republic of Ireland",Arsenal,19,15,14,10,16,17,14,12,12,15,15,11,17,15,13,18,16,17,15,18,17,10,16,16,16,19,14,17,13,13,15,14,18,13,17,14,19,12,16,5,14,4,1,1,3,2,2,4,2,1,3,2,12,16,3,15,16,18,16,14,1,1,12,1,1,1,19,1,20,1,1,1,1,1,185,11,20,"£129,600,016",9050,9050,8250,NorthernEuropean,177,4,1999/1/14,66,5,"£250,000",28106491,16.00 ,14.75 ,13.00 ,13.00 ,14.33 ,15.00 ,14.00 ,17.17 ,3.00 ,14.75 ,13.00 ,17.17 ,1.00 ,3.00 ,3.00 ,2.00 ,"中路带球突进
长距离传球
喜欢将球转移到边路",#NAME?,"中路带球突进
长距离传球
喜欢将球转移到边路",
